Nama Pengguna,Rating,Ulasan
Montazery,bintang 5,"pengiriman termasuk cepat, untuk wangi sesuai perkiraan, saya gak ngerti notes2-an, yang pasti saya pernah pakai merk lain dengan wangi yang menyerupai, kebetulan saya su..."
fahsya,bintang 5,"barang diterima sesuai,enak wanginya elegan calm"
A***s,bintang 5,Mantaaap. Beli utk ke sekian kalinya. Bau wanginya tahan lamaaaaaaaa..... Terimakasih & sukses.
Jeremiah,bintang 5,"Sesuai pesanan, pengiriman sangat aman. Untuk baunya lumayan enak tapi belum tau tahan berapa lama"
Wahyudi,bintang 5,wangi nya kenceng
d***d,bintang 5,mantul wanginya tahan lumayan lama
Heri,bintang 5,bau2 arab gitu....
Riyan,bintang 5,KURIRNYA AJA KAYAK KIMAK
Dodi,bintang 5,suka sama aromanya
Muhammad,bintang 5,wanginya mantap enak dipake daily
Maya,bintang 5,segaaarrr
Fahmul,bintang 5,wangi poll tahan lamaa
Akang,bintang 5,pesanan nya cepat sampai...mantap
Thoriq,bintang 5,belum dicoba
M***d,bintang 5,Wanginya sesuai ekspektasi. Semoga tahan..
H***i,bintang 5,Super
Oey,bintang 5,Wangi parfumnya enak dan cowok banget 👍
C***a,bintang 5,Pembelian ketiga dan selalu puas dengan wangi nya
Alfred,bintang 5,lumayanlah..semoga tahan lama baunya
a***i,bintang 5,sudah repeat ke 7x cocok wanginya
Andika,bintang 5,Wanginya khas oud
H***n,bintang 5,langganan
irvan,bintang 5,barang mendarat dengan aman
F***d,bintang 5,"seperti biasa, blom ada tandingannya sampe sekarang. cukup demikian karena tidak dapet gopay coin.. hiks.."
F***l,bintang 5,kualitas sepadan harganya.
Anggi,bintang 5,"Kemasan & botol : Bagus, kesannya ekspensive banget, elegan & simpel. Pump pressnya empuk, ga berisik, di spray langsung menyebar secara halus. Botolnya juga soli..."
G***a,bintang 5,wanginya pas dan cukup tahan lama
Tedy,bintang 5,"wanginya.mantep.si ini,"
R***y,bintang 5,"mantep banget,sesuai ekspektasi"
