Nama Pengguna,Rating,Ulasan
Thenny,bintang 5,"Barang diterima dlm keadaan baik, karena kemasannya bagus. Pengirimannya cepat artinya pelayanannya bagus. Terimakasih. Sangat direkomendasikan....👍🙏"
r***o,bintang 5,okeee sesuai deskripsi
F***l,bintang 5,bagus sesuai ekspektasi
Fajar,bintang 5,"Aroma parfum mantabZ, pengiriman cepat.... tengkyuu👌"
T***h,bintang 5,"Brgnya sdh d trima dg baik, paking aman & bagus, wangi sesuai deskripsi, hanya waktu di trima ada bocor sedikit botolnya basah, tapi ga masalah, wangi banget, mantap"
Rudy,bintang 5,Wangi nya mewah
Muhammad,bintang 5,very manly scent
a***y,bintang 5,Ok nih baunya tapi ngga tahan lama kalau buat luar ruangan.
Wihardyan,bintang 5,oke
Aryo,bintang 5,suka saya wanginya
Riski,bintang 5,"leathernya kuat banget, tahan lama, enak worth it"
Samuel,bintang 5,Paket diterima dgn baik & aman. Design & kemasan elegan. Wangi parfum yg sy pilih mirip wangi parfum LV Ombre Nomade. Hanya sj tdk sekuat dgn LV wanginya. Dan har...
Y***n,bintang 5,"Barang sdh diterima, sesuai dgn pesanan..."
Rinaldo,bintang 5,the best
Teofilus,bintang 5,"agak bocor dikit pas sampe, but it's all right ✌️"
rubingah,bintang 5,"yes respon yang baik, pengiriman juga sat set,,,, kwalitas produk juga nyata.. wanginya tdk kaleng-kaleng.. recommended"
Chan,bintang 5,Wanginya kayak parfum gosok yang biasa bapak gw pake kalo pergi jumat'an. Wangi pol wkakak bagus 👌🏻 Kalo abis ntar pesen kesini lagi gasss
A***a,bintang 5,Baru semprotan pertama wanginya udah strong dan kecium banget. Mau coba dipake beberapa jam dulu untuk liat longevity nya. Blind buy karena banyak yang review bagus. Semo...
Riva,bintang 5,Mantap wanginya
Saulito,bintang 5,like this 👍👍👍
F***e,bintang 5,Semoga wanginya awet
Faizal,bintang 5,"sejauh ini enak sih,wanginya bertahap.awalnya soft tp begitu hirup nafas langsung wanginya pecah,smoga kuat dibuat aktifitas outdoor seharian"
J***o,bintang 5,wangi.... semoga tahan lama
Dhito,bintang 5,"Baunya cenderung buat parfum malam hari, buat formal juga bisa"
Trii,bintang 5,wangi nya suka
N***i,bintang 5,Buat ponakan cwo dan dia suka wanginya enak 👍👍👍
Iqbal,bintang 5,Produk okay
Anton,bintang 5,👍👌
R***y,bintang 5,"harumnya arabic soft banget. maskulinnya dapet , di outdoor masih harum ... keren sukses terus"
Ricky,bintang 5,Parfum tahan lama
A***g,bintang 5,"sesuai dengan deskripsi produk, cocok dengan wangi nya"
Sofian,bintang 5,"sesuai, recommended seller"
Riza,bintang 5,"wangi nya kuat, dan tahan lama"
Valentino,bintang 5,Dari packaging sampai parfumnya baik dan bagus semua
S***a,bintang 5,suka wanginya👍 lumayan tahan lama jg
S***e,bintang 5,Packagingnya bagus dan aman. Wanginya sesuai ekspektasi. Thanks
A***g,bintang 5,joooossssss
Alchamdani,bintang 5,oke mantap wanginya cowo bnget
Teguh,bintang 5,harum seperti parfum
H***i,bintang 5,mantap
p***u,bintang 5,"kena racun tiktok eh enak beneran wanginya, endurance nya belom tau besok dcba"
R***i,bintang 5,Benar2 wangi Oud. Sedikit saja sudah wangi. Keren deh
kuswantoro,bintang 5,"barang sdh diterima sesuai pesanan, ok"
G***n,bintang 5,"Mantappp, wanginya timur tengah"
D***o,bintang 5,"Takjub, wangi nya ga kaleng2. Tapi, ada yg hrs di perhatikan di bagian utk spraying perfume nya. Sepertinya kurang begitu kokoh. Utk team cave, silahkan di evaluasi hal t..."
Ari,bintang 5,packaging rapi & aman seller fast respon pengiriman cepat sesuai iklan: wanginya manis
F***y,bintang 5,pembelian ke 2
Indra,bintang 5,kemasannya keren...packingnya rapuh dan aman. harusnya elegan dan mantap. terimakasih dan sukses ya
jun,bintang 5,mantap dan wangi ... 🫰
Bimo,bintang 5,"CEPAT MURAH MANTAP, IKAN DAN TANAMANNYA SEHAT SEHAT"
A***n,bintang 5,baunya khas parfum timur tengah
I***u,bintang 5,wanginya enak.. layanan bagus tokonya bagus.. sempat ada yg kurang tapi disusulkan plus dapat bonus dan barang cepat sampe
Hartono,bintang 5,cepat
W***i,bintang 5,"Wangi nya enakk bett,, suiippss"
Ferrie,bintang 5,repeat order yg kedua kalinya.. Puas deh
H***n,bintang 5,Wood & leather strong oud kurang dpt..overall cowok bgt
Herman,bintang 5,Wanginya enak. Khas dan unik. Packing aman.
S***u,bintang 5,Wangi nya mantap gak kalah sama yg di foto untuk wangi.
Saiful,bintang 5,"barangnya bagus ,wangi tahan lama"
Chandra,bintang 5,baunya wangi bangetttt
F***l,bintang 5,nice
Rhendy,bintang 5,"JEMPOLAN BGT INI SELLER. Cave the best banget! Selain wangi & SPL nya jempolan. Juga pelayanan ke pembeli parah sih, maximal bgt. Terbaik! 👍🏽👍🏽 Sempat ada kendal..."
gubbi,bintang 5,"Enak wanginya, cukup tahan ~6 jam."
Paulus,bintang 5,Wanginya favorit
E***P,bintang 5,wanginya tahan lama..
Irfan,bintang 5,ahhh mantaaap🙏🏼🙏🏼🙏🏼
ElIbrahim,bintang 5,wanginya pas sama yg saya lagi cari2.. oudnya strong maskulin
Eko,bintang 5,value for money
Herman,bintang 5,Mantap. Wanginya enak. Kemasan rapi. Packing baik.
JJ,bintang 5,"Barang sdh sampai, wangi banget"
Edi,bintang 5,"wanginya asoyoyy,,cuma pengirimannya agak lama"
H***y,bintang 5,Barang sesuai pesanan dan cepat datang.
K***y,bintang 5,"puas, wanginya mantapp 👍🏻 recommended perfume"
A***f,bintang 5,toppp banget. suka sekali
BAS,bintang 5,"packing super rapi, pengiriman cepat, terima kasih"
eko,bintang 5,okkkk mksii
E***k,bintang 5,Respons cepat …👍🏻Asli packing safe sekali dan wangi sesuai penjelasn bro Gamal ⭐️⭐️⭐️⭐️
aa,bintang 5,Kualitas
aa,bintang 5,Kualitas
E***h,bintang 5,Produk ok. Melebihi ekspektasi
A***a,bintang 5,Sip sip sip
Erdiansyah,bintang 5,Produk sesuai dengan diskripsi
Vito,bintang 5,Baunya memang mantab dan awet
Yanuar,bintang 5,sayang baunya kurang cocok pengiriman baik
Bimo,bintang 5,Ajiiib oud beneran 👍👍
y***i,bintang 5,enak
muhamad,bintang 5,"bintang tujuh buat parfum ini, wanginya leather oudnya menyala Abang kuuu..... doi nyender terus make ini 🔥🔥🔥🔥"
Chandra,bintang 5,"Beneran wanginya mirip orang Arab, tapi gak ngejegrak. Tahan lama juga"
muhammad,bintang 5,Recommended seller
RME,bintang 5,cepat dan bagus
I***a,bintang 5,wanginya ok banget
D***y,bintang 5,Oud barunya enak banget. Terimakasih
Andrew,bintang 5,Good parfume.
J***n,bintang 5,Very good
D***n,bintang 5,"Packing sangat aman, wangi awal agak kuat tapi selanjut nya enak,"
c***o,bintang 5,gila cepet nyampenya.. wangi pula. ..mudah2an tahan lama ga cepet abis..
Kus,bintang 5,wanita mewah awet rekomended
R***i,bintang 5,Bagus dan wangi
a***o,bintang 5,wanginya strong tp lebih suka yg golden soul
Aris,bintang 5,"wangi incence yang paling dominan, mungkin bisa di balance dgn Fruity dan Wood agar lebih ""youth"""
Guno,bintang 5,"sebenarnya ga begitu suka dengan wanginya, tp lumayan tahan lama."
Dukut,bintang 5,"Enak, maskulin sekali. kebetulan saya laki2 jd pass 👍"
Iben,bintang 5,"Ok packing, ok kirim2 mantul admin"
Yohanes,bintang 5,"Paket sesuai order, packaging nya rapih dan rapet."
Yoshua,bintang 5,wanginy enak
Rahmad,bintang 5,"sampai dengan selamat, mantap"
Muhammad,bintang 5,wangi oudnya berasa 👍🏻
J***g,bintang 5,proses cepat pengiriman cepat mudah2an wanginya tahan lama. tks kak
Bagus,bintang 5,Wanginya rasa lv ombre . Enak. Thank you sudah mengusahakan supaya pengirimannya cepat sampai
Made,bintang 5,Wanginya naikin level PD
H***u,bintang 5,"Order yg kesekian kali, selalu kagum dg packaging dan kecepatan prosesnya yg ontime"
indra,bintang 5,wanngi nya ok tp sayang pengiriman lama
Z***d,bintang 5,Udh cocok sama leather oud thank you
u***g,bintang 5,wangi
syafiih,bintang 5,sip
Mang,bintang 5,"wanginya sekilas enak, tp lama2 agak berlebihan, agak nyegrak, dominan seperti aroma dupa. secara keseluruhan sy tdk terlalu suka. bukan selera sy. tp aromanya enak kok,..."
R***y,bintang 5,"wanginya ok, pengiriman cepat, pengemasan super duper aman, good seller"
N***o,bintang 5,👍
C***n,bintang 5,Good
a***l,bintang 5,oke
R***y,bintang 5,Barang bagus dan sesuai.. Trims
RM,bintang 5,ok banget
Zaldi,bintang 5,Wangi
Cyril,bintang 5,Bau enak semoga tahan lama 👌
Okky,bintang 5,"aroma nya cowok banget👍 botol nya praktis untuk dibawa, dikemas dengan baik jadi aman pengiriman nya. kirim nya juga cepat"
gumilang,bintang 5,"blind buy, ternyata enak wanginya, tp aku kurang cocok"
philip,bintang 5,Harum juga 👍
