Nama Pengguna,Rating,Ulasan
Nandi,bintang 5,"Baunya enak, tapi belum dipake untuk aktifitas diluar ruangan sih hehe, sejauh ini aku prefer las pozas hehe"
Muhammad,bintang 5,👍👍
Dian,bintang 5,"terimaksih barang dh sampai & free bonus , packing aman"
Mila,bintang 5,Parfum ter unik yang pernah aku temukan
Arif,bintang 5,"wanginya cool, selalu suka wanginya saff & co good job 😊"
Rani,bintang 5,"Wanginya bikin penasaran, kyk tanggung gitu 😅 jadi kepengen dicium2 terus. Wanginya tahan lama, kurleb 8 jam msh kerasa. Dikemas aman saat pengiriman. Cuma kurang suka..."
P***u,bintang 5,mantapppp
I***i,bintang 5,Ok
Eva,bintang 5,"ini pembelian yg ke 3, setelah 2x beli yg mini krn mau coba wangi nya dulu. ini beli SOTB yg 30ml, dapat bonus tester MINOUET, wanginya soft manis duh kayanya bakal beli..."
f***y,bintang 5,"Wangi, pengiriman sangat cepat, packing rapi dan aman"
I***a,bintang 5,"wanginya enakkk.. katanya sih tahan lama, sampe tmn ada yg chat minta spill'in parfum nya 😁"
liameida,bintang 5,wanginya enakk
Siska,bintang 5,parfum rutin ku sejak 1 tahun ini wanginya tahan lama naek ojek juga tetep awet sampai sore mantapppp
Khairani,bintang 5,farfum fav yg wangi nya tahan lama bgt
B***e,bintang 5,wangi banget . cocok sih buat sehari hari
Handoko,bintang 5,"barang sesuai pesanan, wangi seperti layaknya minyak wangi"
Daneen,bintang 5,"Wangi nya enakk banget, tahan lamaa pulaa kaya parfum harga jutaan 😍"
M***d,bintang 5,wanginya the best
F***l,bintang 5,"wangi nya kereeeen banget, smp janda samping rumah suka"
Anita,bintang 5,"Suka sama aromanya unisexnya cm lebih ke cewek ya sampe byk yg minta spill parfum apa 🤗 Tetap lebih suka omnia..Makasih buat tester ostara, suka jg sm aromany,next bakal..."
Ahmad,bintang 5,"barang sesuai, packaging mantap. best"
f***t,bintang 5,Barang sesuai pesanan. Packing aman. Pengiriman cepat. Recommended Seller.
D***i,bintang 5,istri suka banget sama wanginya
Suandi,bintang 5,Enak wangi dan tahan lamaa
Putu,bintang 5,"pembelian kedua. suka banget dg aroma ini aroma enak, awet berhari hari"
U***i,bintang 5,Wanginya suka tahanlama 😍
febriyanti,bintang 5,suka sm wanginya tahan lama .. terima kasih ..
A***y,bintang 5,"Sudah order untuk ke 3xnya, sangat suka dengan aroma SOTB, sangat puas terima kasih"
A***s,bintang 5,"order batch ke-2. suka bgt wangi ini, after dry down nya bikin endus endus mulu😂 awal beli beberapa varian versi travel size, rata² wangi saff & co. ini nyengat bgt..."
Sony,bintang 5,wanginya tahan lama pengiriman jg cepet sampek beruntungnya lagi dpt harga promo dari toko pedia. dikasih bonus tester 👍
D***n,bintang 5,puas deh sama wanginya
safrizal,bintang 5,ori
Slamet,bintang 5,gooooooooooood.....barang bagus. pengiriman cepat
Adrian,bintang 5,Dapet harga murah ternyata wanginya sesuai dan tahan lama
Rasino,bintang 5,"wangi nya enak, dan awet...barang bagus ini. terima kasih Tokped dan seller"
N***s,bintang 5,Saff n co selalu ok. Pembelian ke sekian tapi beda varian
s***n,bintang 5,makasih
cut,bintang 5,Buat siang hari ini ok banget
Kartiko,bintang 5,"mantap jelas, pen tester aroma cocok selera, siap tampil penuh aroma tanpa henti"
B***n,bintang 5,pesanan sudah sesuai
B***i,bintang 5,debestt
F***o,bintang 5,"dpt tester irai leima, pas dicobain lebih enak wangi yg tester wkwkwkw"
E***i,bintang 4,"Suka sama parfumenya dan dikasih tester juga, tapi ini packagingnya rentan banget, ini aku pas nerima, bosnya udah penyok, dalemnya juga ada beberapa dent, untung aja ni..."
I***a,bintang 5,"wanginya enak sukak, dapet vial solaris juga"
Siska,bintang 5,So happy dapet harga 15rb dan beneran wanginya enakkk bgt dan tahan lama!! thank u tokped & saff n co
Ediyanto,bintang 5,"wanginya enak, tahan lama sepertinya, packaging nya juga bagus banget, keliatan mahal bgt, dan botolnya juga bagus, yang paling penting dapat flash sale jadi 16rb"
Agus,bintang 5,mantappp
M***h,bintang 5,"mantabz kemaren order hari ini sudah sampai, parfumnya wangi santai tapi ga tajem dan tahan lama boxnya exlusive . thanks bonusnya."
Gufron,bintang 5,Barang mendarat dengan selamat.
D***g,bintang 5,Beli parfum online terbaik selalu di Saff & Co 🥰
Trybowo,bintang 5,Aromanya enak. Kemasan pun premium. Impresif.
W***a,bintang 5,puas dpt harga diskon sesuai pesanan dan aman sampainya
F***n,bintang 5,mntep
A***s,bintang 5,pengiriman cepat
P***r,bintang 5,"Parfum ter cocok buat aku. bau nya ga nyengat, gak tajem, tapi tahan lama sama soft. enak banget"
Goliat,bintang 5,Gausah diragukan Pasti suka cewe lo pada Salah satu best seller juga di saff n co
I***n,bintang 5,"Keren Wanginya, cocok buat saya"
A***a,bintang 5,ENAK BGT WANGINYAAAAA
S***l,bintang 5,Dpt harga 30rb makasih bgt min😭❤️
f***a,bintang 5,"aroma nya memang paling top, repeat order ke 3"
F***i,bintang 5,mantap banget wanginyaaa
E***g,bintang 5,"Sesuai dengan ekspektasi, wangi banget dan kemasan aman banget"
Rian,bintang 5,suka sama baunya...
S***e,bintang 5,Recommended seller. Komunikatif. Mantap
studio,bintang 5,"Pertama kai beli langsung co 3 varian, Harusnya decant yg udah di kasih jangan varian yg di beli, biar bisa coba varian lainnya juga. Over all recomend SOTB dianta..."
Pratithi,bintang 5,my most favourite so far from saff and co
Ronaldo,bintang 5,Produk sudah sampai. Tidak ada yang pecah dan bocor. Wanginya awet dan ga bikin hidung sakit 👌👌
A***y,bintang 5,Puas
Airlangga,bintang 5,"wanginya unik, kayak wangi kacang manis gitu (tapi gatau kacang apa). trus yg kecilnya dapet las pozas, astaga wanginya kyk daun di ulek, aneh banget"
m***h,bintang 5,"wangi terenak yg pernah aku cium, dan bari bgt nemu minyak wangi long lasting bgt di baju apa lg kulit, ketahanan bisa sampe 8-9 jam di aku, di cuci baju pun wanginya mas..."
M***M,bintang 5,"ada kendala di pengiriman, CO tgl 2-4-2024 sampai tgl 15-4-2024. tgl 8-4-2024 status paket di bawa oleh kurir tapi baru sampai tgl 15-4-2024 . admin oke ngasih saran n so..."
J***n,bintang 5,"tahan lama, wangi, kualitas bagus, tp saya kurang suka aroma dari S.O.T.B, next saya akan mencoba varian lainnya"
p***r,bintang 5,"wangi banget, daya tahan ok.."
Muhammad,bintang 5,wangi enak Dan dikasih bonus tester
Bintang,bintang 5,rnak banget wanginya tahan lama dan kecium dari jauh wkwk
i***i,bintang 5,Ok
Kania,bintang 5,Sumpahh woii lu semua yg cek SOTB ni harus beliiiiii woii ini wanginya bener bener ketinggalan di tempat dan satu tetess wanginya serumahh lu semua harus beliiiiiii gilaa...
F***a,bintang 5,so happy dapet ini dengan harga diskon. wanginya enak dan awet
Airlangga,bintang 5,"wanginya unik, kayak wangi kacang manis gitu (tapi gatau kacang apa). trus yg kecilnya dapet las pozas, astaga wanginya kyk daun di ulek, aneh banget"
m***h,bintang 5,"wangi terenak yg pernah aku cium, dan bari bgt nemu minyak wangi long lasting bgt di baju apa lg kulit, ketahanan bisa sampe 8-9 jam di aku, di cuci baju pun wanginya mas..."
M***M,bintang 5,"ada kendala di pengiriman, CO tgl 2-4-2024 sampai tgl 15-4-2024. tgl 8-4-2024 status paket di bawa oleh kurir tapi baru sampai tgl 15-4-2024 . admin oke ngasih saran n so..."
J***n,bintang 5,"tahan lama, wangi, kualitas bagus, tp saya kurang suka aroma dari S.O.T.B, next saya akan mencoba varian lainnya"
p***r,bintang 5,"wangi banget, daya tahan ok.."
Muhammad,bintang 5,wangi enak Dan dikasih bonus tester
Bintang,bintang 5,rnak banget wanginya tahan lama dan kecium dari jauh wkwk
i***i,bintang 5,Ok
Kania,bintang 5,Sumpahh woii lu semua yg cek SOTB ni harus beliiiiii woii ini wanginya bener bener ketinggalan di tempat dan satu tetess wanginya serumahh lu semua harus beliiiiiii gilaa...
F***a,bintang 5,so happy dapet ini dengan harga diskon. wanginya enak dan awet
Airlangga,bintang 5,"wanginya unik, kayak wangi kacang manis gitu (tapi gatau kacang apa). trus yg kecilnya dapet las pozas, astaga wanginya kyk daun di ulek, aneh banget"
m***h,bintang 5,"wangi terenak yg pernah aku cium, dan bari bgt nemu minyak wangi long lasting bgt di baju apa lg kulit, ketahanan bisa sampe 8-9 jam di aku, di cuci baju pun wanginya mas..."
M***M,bintang 5,"ada kendala di pengiriman, CO tgl 2-4-2024 sampai tgl 15-4-2024. tgl 8-4-2024 status paket di bawa oleh kurir tapi baru sampai tgl 15-4-2024 . admin oke ngasih saran n so..."
J***n,bintang 5,"tahan lama, wangi, kualitas bagus, tp saya kurang suka aroma dari S.O.T.B, next saya akan mencoba varian lainnya"
p***r,bintang 5,"wangi banget, daya tahan ok.."
Muhammad,bintang 5,wangi enak Dan dikasih bonus tester
Bintang,bintang 5,rnak banget wanginya tahan lama dan kecium dari jauh wkwk
i***i,bintang 5,Ok
Kania,bintang 5,Sumpahh woii lu semua yg cek SOTB ni harus beliiiiii woii ini wanginya bener bener ketinggalan di tempat dan satu tetess wanginya serumahh lu semua harus beliiiiiii gilaa...
F***a,bintang 5,so happy dapet ini dengan harga diskon. wanginya enak dan awet
Airlangga,bintang 5,"wanginya unik, kayak wangi kacang manis gitu (tapi gatau kacang apa). trus yg kecilnya dapet las pozas, astaga wanginya kyk daun di ulek, aneh banget"
m***h,bintang 5,"wangi terenak yg pernah aku cium, dan bari bgt nemu minyak wangi long lasting bgt di baju apa lg kulit, ketahanan bisa sampe 8-9 jam di aku, di cuci baju pun wanginya mas..."
M***M,bintang 5,"ada kendala di pengiriman, CO tgl 2-4-2024 sampai tgl 15-4-2024. tgl 8-4-2024 status paket di bawa oleh kurir tapi baru sampai tgl 15-4-2024 . admin oke ngasih saran n so..."
J***n,bintang 5,"tahan lama, wangi, kualitas bagus, tp saya kurang suka aroma dari S.O.T.B, next saya akan mencoba varian lainnya"
p***r,bintang 5,"wangi banget, daya tahan ok.."
Muhammad,bintang 5,wangi enak Dan dikasih bonus tester
Bintang,bintang 5,rnak banget wanginya tahan lama dan kecium dari jauh wkwk
i***i,bintang 5,Ok
Kania,bintang 5,Sumpahh woii lu semua yg cek SOTB ni harus beliiiiii woii ini wanginya bener bener ketinggalan di tempat dan satu tetess wanginya serumahh lu semua harus beliiiiiii gilaa...
F***a,bintang 5,so happy dapet ini dengan harga diskon. wanginya enak dan awet
Angga,bintang 5,"respon seller oke, pengiriman cepat, packing rapi, barang sesuai"
dian,bintang 5,wangi benerrrr
Mulyanti,bintang 5,HARUMM
Emilia,bintang 5,"akhirnya kesampaian punya parfum ini, makasih buat free samplenya"
Fitria,bintang 5,"packingnya ok banget, box parfumnya jg OK banget, bonusnya enak juga wanginya. thanks yaa."
F***h,bintang 5,"Mantap, barang sesuai."
J***e,bintang 5,wanginya tahan lamaa bangettt. wanginyaa enakkk. sukaaa banget
J***n,bintang 5,favoritku
Wahyu,bintang 5,sewangi itu baunya enak mantap
Novan,bintang 5,Wanginya sesuai yang diharapkan! Suka bangeeetttt
D***s,bintang 5,Kurang di jasa kirim aja lamaaaaa
V***i,bintang 5,The best 😭😭😭 cinta banget 🫶🏻🫶🏻🫶🏻
Maya,bintang 5,keren bbgt mksh
Piski,bintang 5,"Pengirimannya sangat disayangkan, please jangan lagi2 pake kurir SAPX karena nyampenya 1 bulan lebih, malah di keterangan tokped udh diterima pembeli pdhl belum ada... d..."
t***h,bintang 5,"wanginya cocok, awet, dan selalu pantengin terus promonya biar dapet harga murah"
Berthy,bintang 5,S. O. T. B emang wanginya the best sih 👍🏻
Wida,bintang 5,"mumpung lagi ada promo, jadi beli lagi buat stok"
Ary,bintang 5,Wanginya sweet dan tahan lama seharian
wawan,bintang 5,Babagahba. Aba Ba
intan,bintang 5,Wangi banget sih ini 🥰
Adrian,bintang 5,istri saya suka bgt sama wangi nya
M***d,bintang 5,"bau nya agak berat di awal.. so far good, tpi sayang tester nya hrus nya beda bukan yg sama"
M***d,bintang 4,"botolnya bagus, dapat bonus sample varian lain, wanginya subyektiflah"
E***E,bintang 5,Fast Respon mantapp 👍🔥 recommended seller deh 👍🔥 sesuai dengan pesanan 🔥🔥🔥
A***i,bintang 5,pengemasan sangat baik dan sudah beli ostara juga. Enak sih tapi ga tau koq di saya splnya kurang menguar ya. Tapi wanginya awet sih. parfum pertama dari Saff &Co yg...
Anwar,bintang 5,"SPL juara dgn harga yg terjangkau, suka bgt dry down aroma vanilanya"
A***i,bintang 5,mantap wangi kek mahjong
d***n,bintang 5,EXCELLENT 👍🏻👍🏻👍🏻👍🏻👍🏻
biyan,bintang 5,menutur gue produk lokal yang ini wanginya harum dan bagus cobain deh kalau gak percaya peringatan : (awas jadi candu)
Putry,bintang 5,sukaaaa sama wanginyaaaaa
t***h,bintang 5,"seperti biasa.. Parfumnya enak wanginya, cocok sm idung, harga dpt diskon biarpun lebih mahal dari diskon yg sebelumnya.. dan seperti biasa pula, kurir pengirimannya LUAM..."
A***i,bintang 5,"Mantab, wanginya tahan lama👍"
T***e,bintang 4,"paket sampai dengan selamat dan mantap, barang cepat nyampe, packing rapi dan mantap,👍"
Afandy,bintang 5,"suka banget sama wangi nya, top👍🏻"
Desi,bintang 5,Makasij udah di kasih sample lucu kecil
ari,bintang 5,kane bet wanginya
B***u,bintang 5,👍👍👍👍👍
Grace,bintang 5,wangiiii bgt plus senang banget dapat sample lainnya jadi pengen beli lagi :(((
